CustomerID,Age,Gender,Income,VisitFrequency,AverageSpend,PreferredCuisine,TimeOfVisit,GroupSize,DiningOccasion,MealType,OnlineReservation,DeliveryOrder,LoyaltyProgramMember,WaitTime,ServiceRating,FoodRating,AmbianceRating,HighSatisfaction
718,33,Male,117671.6291,Monthly,179.798439,Mexican,Breakfast,8,Celebration,Takeaway,1,1,1,39.46,1,1,1,0
792,57,Female,105429.5861,Weekly,176.1952492,Mexican,Lunch,3,Celebration,Takeaway,1,0,1,25.25,1,1,1,0
955,56,Male,125265.0948,Rarely,178.7133919,American,Breakfast,9,Celebration,Takeaway,0,0,1,44.84,1,1,1,0
965,58,Female,133880.8843,Monthly,176.9679301,Italian,Lunch,1,Business,Dine-in,0,1,0,20.71,1,1,1,0
1056,32,Female,115413.2185,Weekly,194.0712464,Chinese,Dinner,7,Business,Dine-in,0,0,1,37.35,1,1,1,0
1096,41,Female,10099.7895,Monthly,36.01126941,Mexican,Breakfast,2,Celebration,Takeaway,0,1,1,9.35,1,1,1,0
1106,69,Female,140322.3698,Rarely,158.972677,Indian,Dinner,9,Celebration,Dine-in,0,0,0,8.56,1,1,1,0
1107,34,Female,147021.2326,Weekly,163.2323366,Indian,Lunch,1,Celebration,Takeaway,0,0,1,52.92,1,1,1,0
1133,69,Female,136594.8746,Weekly,170.2705229,Indian,Breakfast,4,Business,Takeaway,1,0,1,9.38,1,1,1,0
1161,46,Male,50237.04615,Weekly,134.1191137,Indian,Dinner,5,Celebration,Dine-in,0,1,1,53.4,1,1,1,0
1181,38,Male,129763.4247,Weekly,187.4294635,Mexican,Dinner,7,Celebration,Dine-in,0,1,0,20.79,1,1,1,0
1305,39,Female,139257.8251,Monthly,178.4847017,Chinese,Breakfast,6,Casual,Takeaway,0,0,1,22.49,1,1,1,0
1577,56,Male,60882.39593,Monthly,141.1752305,Chinese,Breakfast,6,Celebration,Takeaway,1,0,0,59.12,1,1,1,0
1723,51,Female,49657.51941,Monthly,78.5937943,Italian,Dinner,4,Casual,Takeaway,0,0,0,12.81,1,1,1,0
1905,56,Male,153491.6448,Monthly,190.1201973,Italian,Breakfast,5,Celebration,Dine-in,0,1,0,48.47,1,1,1,0
673,58,Male,63396.48149,Rarely,144.4609257,Italian,Dinner,4,Casual,Takeaway,1,0,1,40.37,1,1,1,0
831,49,Female,44610.67039,Monthly,76.71316052,Chinese,Dinner,8,Casual,Dine-in,0,1,1,33.29,1,1,1,0
925,54,Male,79363.68924,Weekly,173.6705104,Chinese,Breakfast,5,Business,Dine-in,0,0,0,56.59,1,1,1,0
952,32,Male,136712.3106,Weekly,162.8200714,Italian,Lunch,3,Celebration,Takeaway,0,0,1,41.47,1,1,1,0
956,66,Male,68943.46803,Monthly,103.6659323,Chinese,Dinner,7,Casual,Dine-in,1,1,0,50.19,1,1,1,0
